date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,city,Day of Week,Season Sold,House Age,Renovation Age,Is Renovated,Lot-Living Ratio,Basement Ratio,Areas Per Bedroom,Bathrooms Per Bedroom,Bedrooms Per Floor,Beds x Baths,Sqft Living x Waterfront,State,ZIP Code
2014-05-09,12.837344422372032,3.0,2.0,1340,1384,3.0,0,0,3,1340,0,Seattle,4,2,6,2014,2014,1.0328358208955224,0.0,446.6666666666667,0.6666666666666666,1.0,6.0,0,WA,98103
2014-05-09,13.592367006650065,4.0,3.25,3540,159430,2.0,0,0,3,3540,0,Carnation,4,2,7,2014,2014,45.036723163841806,0.0,885.0,0.8125,2.0,13.0,0,WA,98014
2014-05-09,14.621489871998335,5.0,6.5,7270,130017,2.0,0,0,3,6420,850,Issaquah,4,2,4,2014,2014,17.88404401650619,0.11691884456671252,1454.0,1.3,2.5,32.5,0,WA,98029
2014-05-09,12.688498794774466,3.0,2.25,998,904,2.0,0,0,3,798,200,Seattle,4,2,7,2014,2014,0.905811623246493,0.20040080160320642,332.6666666666667,0.75,1.5,6.75,0,WA,98117
2014-05-10,13.217491722495906,5.0,2.75,3060,7015,1.0,0,0,5,1600,1460,Seattle,5,2,35,2014,2014,2.292483660130719,0.477124183006536,612.0,0.55,5.0,13.75,0,WA,98146
2014-05-10,12.676076274775909,3.0,2.5,2130,6969,2.0,0,0,3,2130,0,Maple Valley,5,2,11,2014,2014,3.271830985915493,0.0,710.0,0.8333333333333334,1.5,7.5,0,WA,98038
2014-05-10,13.681979165339751,4.0,2.0,2520,6000,1.0,0,0,3,1400,1120,Seattle,5,2,93,7,7,2.380952380952381,0.4444444444444444,630.0,0.5,4.0,8.0,0,WA,98103
2014-05-10,12.487485104968359,4.0,1.0,1940,9533,1.0,0,0,3,1080,860,Kent,5,2,52,11,11,4.913917525773196,0.44329896907216493,485.0,0.25,4.0,4.0,0,WA,98031
2014-05-10,12.886514453592564,3.0,2.5,1350,1250,3.0,0,0,3,1270,80,Seattle,5,2,8,2014,2014,0.9259259259259259,0.05925925925925926,450.0,0.8333333333333334,1.0,7.5,0,WA,98136
2014-05-11,13.644128941208654,4.0,2.5,2160,5298,2.5,0,0,4,2160,0,Seattle,6,2,112,2014,2014,2.452777777777778,0.0,540.0,0.625,1.6,10.0,0,WA,98122
2014-05-11,12.815838217151068,3.0,2.5,1370,1350,2.0,0,0,3,1010,360,Seattle,6,2,7,2014,2014,0.9854014598540146,0.26277372262773724,456.6666666666667,0.8333333333333334,1.5,7.5,0,WA,98136
2014-05-12,14.018451401960965,4.0,4.5,5420,101930,1.0,0,0,3,3890,1530,Redmond,0,2,13,2014,2014,18.80627306273063,0.2822878228782288,1355.0,1.125,4.0,18.0,0,WA,98053
2014-05-12,13.693342923990066,4.0,2.5,2830,5000,2.0,0,0,3,2830,0,Seattle,0,2,19,2014,2014,1.7667844522968197,0.0,707.5,0.625,2.0,10.0,0,WA,98105
2014-05-12,13.024190303426474,3.0,2.5,2010,2287,2.0,0,0,3,1390,620,Issaquah,0,2,0,2014,2014,1.1378109452736318,0.30845771144278605,670.0,0.8333333333333334,1.5,7.5,0,WA,98029
2014-05-12,13.739708844547993,4.0,2.75,3300,12090,2.0,0,0,3,3300,0,Clyde Hill,0,2,61,2014,2014,3.6636363636363636,0.0,825.0,0.6875,2.0,11.0,0,WA,98004
2014-05-12,13.102160670086809,2.0,2.5,1230,1391,2.0,0,0,3,870,360,Seattle,0,2,10,11,11,1.1308943089430894,0.2926829268292683,615.0,1.25,1.0,5.0,0,WA,98112
2014-05-12,12.739637756265655,3.0,1.5,1720,7119,1.5,0,0,4,1720,0,Shoreline,0,2,62,2014,2014,4.138953488372093,0.0,573.3333333333334,0.5,2.0,4.5,0,WA,98155
2014-05-12,12.367340793126296,1.0,1.0,810,2451,1.0,0,0,5,810,0,Seattle,0,2,73,2014,2014,3.025925925925926,0.0,810.0,1.0,1.0,1.0,0,WA,98126
2014-05-12,13.997832114758229,3.0,1.75,1560,8078,1.5,1,4,4,1560,0,Mercer Island,0,2,86,2014,2014,5.1782051282051285,0.0,520.0,0.5833333333333334,2.0,5.25,1560,WA,98040
2014-05-12,13.235692062711331,3.0,2.0,2560,216777,1.0,0,0,3,2560,0,Auburn,0,2,28,2014,2014,84.678515625,0.0,853.3333333333334,0.6666666666666666,3.0,6.0,0,WA,98092
2014-05-12,13.710150042306449,4.0,3.25,4700,38412,2.0,0,0,3,3420,1280,Bellevue,0,2,36,2014,2014,8.172765957446808,0.2723404255319149,1175.0,0.8125,2.0,13.0,0,WA,98005
2014-05-12,12.449018824140563,2.0,1.0,1220,2500,1.0,0,0,3,770,450,Seattle,0,2,104,8,8,2.0491803278688523,0.36885245901639346,610.0,0.5,2.0,2.0,0,WA,98126
2014-05-12,14.269765830241871,5.0,2.75,3650,20150,1.0,0,0,4,2360,1290,Bellevue,0,2,39,2014,2014,5.52054794520548,0.35342465753424657,730.0,0.55,5.0,13.75,0,WA,98004
2014-05-12,13.683863103898274,3.0,3.25,2170,12508,1.5,0,0,5,1650,520,Mercer Island,0,2,86,44,44,5.76405529953917,0.23963133640552994,723.3333333333334,1.0833333333333333,2.0,9.75,0,WA,98040
2014-05-12,13.199324418540456,4.0,2.25,2540,228254,1.0,0,0,3,1450,1090,Duvall,0,2,24,5,5,89.86377952755906,0.42913385826771655,635.0,0.5625,4.0,9.0,0,WA,98019
2014-05-12,12.765688433465597,2.0,1.0,910,4500,1.5,0,0,4,910,0,Seattle,0,2,108,24,24,4.945054945054945,0.0,455.0,0.5,1.3333333333333333,2.0,0,WA,98118
2014-05-12,13.527828485512494,4.0,2.5,2980,4930,2.0,0,0,3,2890,90,Bellevue,0,2,14,2014,2014,1.6543624161073827,0.030201342281879196,745.0,0.625,2.0,10.0,0,WA,98006
2014-05-12,13.274225726713574,4.0,1.75,2120,4650,1.0,0,1,3,1190,930,Seattle,0,2,63,20,20,2.193396226415094,0.4386792452830189,530.0,0.4375,4.0,7.0,0,WA,98117
2014-05-12,14.089347223594002,4.0,3.5,3460,3997,2.0,0,0,3,2560,900,Seattle,0,2,10,11,11,1.1552023121387283,0.26011560693641617,865.0,0.875,2.0,14.0,0,WA,98103
2014-05-12,12.827992316801751,5.0,3.0,2480,10090,1.0,0,0,3,1300,1180,Seattle,0,2,10,11,11,4.068548387096774,0.47580645161290325,496.0,0.6,5.0,15.0,0,WA,98178
2014-05-12,12.92391243868049,3.0,2.25,2200,16921,2.0,0,0,3,2200,0,Maple Valley,0,2,27,14,14,7.691363636363636,0.0,733.3333333333334,0.75,1.5,6.75,0,WA,98038
2014-05-12,12.793859310432293,4.0,2.0,1730,5500,1.0,0,0,5,1010,720,Seattle,0,2,71,2014,2014,3.179190751445087,0.4161849710982659,432.5,0.5,4.0,8.0,0,WA,98106
2014-05-12,13.830399170458024,3.0,2.5,2920,34527,1.0,0,4,4,1800,1120,Seattle,0,2,60,31,31,11.824315068493151,0.3835616438356164,973.3333333333334,0.8333333333333334,3.0,7.5,0,WA,98116
2014-05-12,12.323855681186558,3.0,1.0,990,8012,1.0,0,0,4,990,0,Renton,0,2,48,2014,2014,8.092929292929293,0.0,330.0,0.3333333333333333,3.0,3.0,0,WA,98058
2014-05-12,13.380101573483037,4.0,2.5,3040,6887,2.0,0,0,3,3040,0,Sammamish,0,2,15,2014,2014,2.2654605263157896,0.0,760.0,0.625,2.0,10.0,0,WA,98074
2014-05-12,13.764217263576723,5.0,3.0,4530,258746,1.5,0,0,4,3200,1330,Woodinville,0,2,11,2014,2014,57.11832229580574,0.293598233995585,906.0,0.6,3.3333333333333335,15.0,0,WA,98077
